time: 2021-03-11 17:42:56.829214        x1: -0.944    y1: -0.016    z1: -0.32
time: 2021-03-11 17:42:56.829214        x2: 0.544    y2: 0.224    z2: -0.784
time: 2021-03-11 17:42:57.267960        x1: -0.928    y1: -0.112    z1: 0.496
time: 2021-03-11 17:42:57.267960        x2: 0.704    y2: 0.352    z2: -0.656
time: 2021-03-11 17:42:57.609217        x1: -0.928    y1: -0.08    z1: 0.496
time: 2021-03-11 17:42:57.609217        x2: 0.704    y2: 0.336    z2: -0.528
time: 2021-03-11 17:42:57.902081        x1: -0.88    y1: -0.064    z1: 0.512
time: 2021-03-11 17:42:57.902081        x2: 0.784    y2: 0.32    z2: -0.576
time: 2021-03-11 17:42:58.291640        x1: -0.88    y1: -0.048    z1: 0.464
time: 2021-03-11 17:42:58.291640        x2: 0.816    y2: 0.336    z2: -0.528
time: 2021-03-11 17:42:58.584437        x1: -0.912    y1: -0.064    z1: 0.512
time: 2021-03-11 17:42:58.584437        x2: 1.104    y2: 0.336    z2: -0.496
time: 2021-03-11 17:42:58.926615        x1: -0.912    y1: -0.032    z1: 0.448
time: 2021-03-11 17:42:58.926615        x2: -0.048    y2: 0.432    z2: -0.976
time: 2021-03-11 17:42:59.266971        x1: -0.88    y1: -0.096    z1: 0.544
time: 2021-03-11 17:42:59.266971        x2: 0.032    y2: 0.4    z2: -0.928
time: 2021-03-11 17:42:59.559463        x1: -0.832    y1: -0.096    z1: 0.544
time: 2021-03-11 17:42:59.559463        x2: -0.032    y2: 0.4    z2: -0.96
time: 2021-03-11 17:42:59.852934        x1: -0.832    y1: -0.128    z1: 0.592
time: 2021-03-11 17:42:59.852934        x2: -0.08    y2: 0.368    z2: -0.944
time: 2021-03-11 17:43:00.243083        x1: -0.864    y1: -0.096    z1: 0.592
time: 2021-03-11 17:43:00.243083        x2: -0.032    y2: 0.384    z2: -0.944
time: 2021-03-11 17:43:00.632998        x1: -0.848    y1: -0.112    z1: 0.592
time: 2021-03-11 17:43:00.632998        x2: -0.08    y2: 0.432    z2: -0.944
time: 2021-03-11 17:43:01.070758        x1: -0.832    y1: -0.112    z1: 0.592
time: 2021-03-11 17:43:01.070758        x2: -0.032    y2: 0.416    z2: -0.928
time: 2021-03-11 17:43:01.363283        x1: -0.896    y1: -0.096    z1: 0.544
time: 2021-03-11 17:43:01.363283        x2: -0.016    y2: 0.416    z2: -0.88
time: 2021-03-11 17:43:01.656643        x1: -0.992    y1: -0.08    z1: 0.336
time: 2021-03-11 17:43:01.656643        x2: -0.064    y2: 0.304    z2: -0.96
time: 2021-03-11 17:43:01.997083        x1: -0.72    y1: 0.176    z1: -0.608
time: 2021-03-11 17:43:01.997083        x2: -0.016    y2: 0.304    z2: -1.024
time: 2021-03-11 17:43:02.289546        x1: -0.544    y1: 0.144    z1: -0.848
time: 2021-03-11 17:43:02.289546        x2: 0.048    y2: 0.208    z2: -0.96
time: 2021-03-11 17:43:02.582997        x1: -0.608    y1: 0.128    z1: -0.816
time: 2021-03-11 17:43:02.582997        x2: 0.24    y2: 0.608    z2: -0.832
time: 2021-03-11 17:43:03.021687        x1: -0.528    y1: 0.16    z1: -0.896
time: 2021-03-11 17:43:03.021687        x2: 0.528    y2: 0.448    z2: -0.784
time: 2021-03-11 17:43:03.411788        x1: -0.528    y1: 0.144    z1: -0.88
time: 2021-03-11 17:43:03.411788        x2: 0.512    y2: 0.416    z2: -0.816
time: 2021-03-11 17:43:03.851310        x1: -0.48    y1: 0.144    z1: -0.912
time: 2021-03-11 17:43:03.851310        x2: 0.496    y2: 0.4    z2: -0.768
time: 2021-03-11 17:43:04.191143        x1: -0.464    y1: 0.144    z1: -0.912
time: 2021-03-11 17:43:04.191143        x2: 0.512    y2: 0.416    z2: -0.784
time: 2021-03-11 17:43:04.580910        x1: -0.48    y1: 0.144    z1: -0.912
time: 2021-03-11 17:43:04.580910        x2: 0.528    y2: 0.416    z2: -0.784
time: 2021-03-11 17:43:04.873373        x1: -0.48    y1: 0.144    z1: -0.896
time: 2021-03-11 17:43:04.873373        x2: 0.48    y2: 0.4    z2: -0.8
time: 2021-03-11 17:43:05.166803        x1: -0.512    y1: 0.144    z1: -0.896
time: 2021-03-11 17:43:05.166803        x2: 0.48    y2: 0.384    z2: -0.816
time: 2021-03-11 17:43:05.507151        x1: -0.496    y1: 0.128    z1: -0.896
time: 2021-03-11 17:43:05.507151        x2: 0.464    y2: 0.416    z2: -0.8
time: 2021-03-11 17:43:05.799644        x1: -0.496    y1: 0.144    z1: -0.896
time: 2021-03-11 17:43:05.799644        x2: 0.528    y2: 0.416    z2: -0.816
time: 2021-03-11 17:43:06.093127        x1: -0.512    y1: 0.144    z1: -0.896
time: 2021-03-11 17:43:06.093127        x2: 0.56    y2: 0.4    z2: -0.736
time: 2021-03-11 17:43:06.433111        x1: -0.512    y1: 0.144    z1: -0.896
time: 2021-03-11 17:43:06.433111        x2: 0.64    y2: 0.416    z2: -0.72
time: 2021-03-11 17:43:06.725622        x1: -0.512    y1: 0.144    z1: -0.88
time: 2021-03-11 17:43:06.725622        x2: 0.56    y2: 0.416    z2: -0.736
time: 2021-03-11 17:43:07.067508        x1: -0.512    y1: 0.144    z1: -0.896
time: 2021-03-11 17:43:07.067508        x2: 0.544    y2: 0.432    z2: -0.736
